"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A 28-nm 9-mm High-Accuracy Multimode IR-UWB Radar SoC With 16-GS/s Equivalent-Time Sampling for Noncontact Detection of Human Vital Signs","P. Luo; Y. Chen; Y. Liu; R. Jiang; J. Xiao; M. Liu; Y. Yang; X. Ma; Y. Hao","School of Microelectronics, Xidian University, Xi’an, China; Department of Electronic Engineering, State Key Laboratory of Space Network and Communications, Beijing National Research Center for Information Science and Technology (BNRist), Tsinghua University, Beijing, China; School of Microelectronics, Xidian University, Xi’an, China; School of Microelectronics, Xidian University, Xi’an, China; School of Microelectronics, Xidian University, Xi’an, China; School of Microelectronics, Xidian University, Xi’an, China; School of Microelectronics, Xidian University, Xi’an, China; School of Microelectronics, Xidian University, Xi’an, China; School of Microelectronics, Xidian University, Xi’an, China",IEEE Transactions on Microwave Theory and Techniques,"","2026","PP","99","1","14","This article presents a 9-mm high-accuracy multimode impulse radio ultrawideband (IR-UWB) radar system on chip (SoC) for the noncontact detection of human vital signs. It incorporates a radio frequency (RF) front-end transceiver, a 4-GS/s 8-channel time-interleaved analog-to-digital converter (TI-ADC), a four-phase clock generator, and a digital processing stage. The proposed all-digital transmitter (TX) operates in two modes: a voltage control delay line (VCDL) mode and a modulated pulse mode. For alignment in the equivalent time sampling (ETS) mode, an on-chip IR-UWB state machine was devised to control the IR-UWB SoC operation. The IR-UWB SoC was prototyped in a 28-nm CMOS process. A clear walking pathway of up to 3.75 m was measured in the VCDL mode. A maximum detection range of 9 m was tested under the 1-bit modulated pulse mode, and a range of up to 11.25 m was obtained under the 5-bit Barker code modulated pulse mode. Clear breath detection was achieved in the ETS mode at a detection distance of 2.5 m. The total area of the chip is  $1.08\times 1.125$  mm2.","1557-9670","","10.1109/TMTT.2026.3655396","Fundamental Research Funds for the Central Universities(grant numbers:KYFZ25008); National Natural Science Foundation of China(grant numbers:8091B02042301); Shaanxi Provincial Key Research and Development Program(grant numbers:2024CY2GJHX34); National Science and Technology Major Project(grant numbers:2024ZD0302600); Innovation Fund of Xidian University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11373082","CMOS;equivalent-time sampling (ETS) mode;impulse radio ultrawideband (IR-UWB);time-interleaved analog-to-digital converter (TI-ADC);voltage control delay line (VCDL)","Radar;Radio frequency;Radar cross-sections;Gain;Clocks;Signal to noise ratio;Impedance;Ultra wideband radar;System-on-chip;Resonant frequency","","","","","IEEE","6 Feb 2026","","","IEEE","IEEE Early Access Articles"
"A 2.2–5 GHz Differential AC-Stacked GaAs HBT Power Amplifier Using Compact Lumped Hybrid Three-Conductor Balun for Low-Voltage Handset Applications","S. Wan; W. Chen; G. Lv; S. Li; Y. Zhang; F. M. Ghannouchi; Z. Feng","Department of Electronic Engineering, Tsinghua University, Beijing, China; Department of Electronic Engineering, Tsinghua University, Beijing, China; School of Integrated Circuits and Electronics, Beijing Institute of Technology, Beijing, China; Department of Electronic Engineering, Tsinghua University, Beijing, China; Department of Electronic Engineering, Tsinghua University, Beijing, China; Intelligent RF Radio Laboratory (iRadio Lab), University of Calgary, Calgary, AB, Canada; Department of Electronic Engineering, Tsinghua University, Beijing, China",IEEE Transactions on Microwave Theory and Techniques,"","2026","PP","99","1","13","This article presents a broadband power amplifier (PA) with a novel lumped hybrid three-conductor (LHTC) balun. The proposed LHTC balun employs an asymmetric lumped compensation network, which enhances amplitude and phase balance across a wide bandwidth. This design relaxes the stringent shielding requirements of conventional TC baluns and provides an inherent dc-blocking function. Furthermore, the adoption of lumped components enables a more compact layout suitable for sub-6 GHz applications, reducing the overall footprint by nearly 50%. These attributes collectively offer exceptional design flexibility and establish a new methodology for improving balance performance in TC baluns. Several important issues, including the impact of lumped components, the loss of practical inductors, size compression, and layout considerations, are also discussed. As a proof of concept, by combining the LHTC balun with an AC-stacked configuration, a differential PA is implemented in a GaAs HBT process for handset applications. This design overcomes the bandwidth limitations imposed by high impedance transformation ratios (ITRs) at low supply voltages. The fabricated PA achieves 33.8–35.2 dBm saturated output power with 42.4%–51.9% peak power added efficiency (PAE) from 2.2 to 5GHz with a chip size of  $1.1\times 1.2$  mm. Under a 100 MHz 5G NR modulated signal with a 6-dB peak-to-average power ratio (PAPR), the PA achieves an adjacent channel power ratio (ACPR) of −30 dBc at average output powers of 26.2–28.8 dBm.","1557-9670","","10.1109/TMTT.2026.3651554","Beijing Natural Science Foundation(grant numbers:L254011); National Science Fund for Distinguished Young Scholars(grant numbers:62225111); National Natural Science Foundation of China (NSFC)(grant numbers:62401322); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11373088","Balance enhancement;broadband;GaAs;handset;heterojunction bipolar transistor (HBT);lumped hybrid three-conductor (LHTC) balun;power amplifier (PA)","Baluns;Bandwidth;Telephone sets;Power amplifiers;Heterojunction bipolar transistors;Shunts (electrical);Inductors;Gallium arsenide;Capacitors;Power generation","","","","","IEEE","6 Feb 2026","","","IEEE","IEEE Early Access Articles"
"An Ultracompact W-Band Switchless Bidirectional PA-LNA Utilizing 8-Shaped Transformer-Based Interstage Matching Networks","L. Jiang; B. Cai; L. Chen; X. Que; S. Huang; Q. Xue; Y. Wang","School of Microelectronics, South China University of Technology, Guangzhou, China; School of Microelectronics, South China University of Technology, Guangzhou, China; School of Microelectronics, South China University of Technology, Guangzhou, China; School of Microelectronics, South China University of Technology, Guangzhou, China; School of Microelectronics, South China University of Technology, Guangzhou, China; School of Microelectronics, South China University of Technology, Guangzhou, China; School of Microelectronics, South China University of Technology, Guangzhou, China",IEEE Transactions on Microwave Theory and Techniques,"","2026","PP","99","1","11","This article presents an ultracompact, wideband, bidirectional, switchless power amplifier–low noise amplifier (PA-LNA) for W-band wireless applications. The proposed design employs a single-signal-path architecture incorporating highly efficient 8-shaped transformers and tri-coil baluns, which effectively reduce electromagnetic (EM) cross-coupling and insertion loss while enhancing linearity within a compact footprint. The tri-coil baluns provide high isolation (ISO) and ultralow coupling between the PA and LNA interstage matching networks, thereby enabling independent design and optimization for each amplifier. The prototype PA-LNA is fabricated in a 40-nm bulk CMOS LP process, achieving a core area of only 0.1 mm2. In the PA mode, the circuit exhibits a measured 3-dB bandwidth of 79–92 GHz, a saturated output power ( ${P} _{\text {sat}}$ ) of 13.7 dBm, an output 1-dB compression point (OP ${}_{1{\,}\text {dB}}$ ) of 8.7 dBm, and a maximum power-added efficiency (PAE) of 9.5%. In the LNA mode, it achieves a noise figure (NF) below 9 dB across the 3-dB bandwidth of 86–98 GHz, with a minimum NF of 8.2 dB.","1557-9670","","10.1109/TMTT.2026.3657776","National Natural Science Foundation of China(grant numbers:62271210); Fundamental Research Funds for the Central Universities(grant numbers:2020ZYGXZR067); Fundamental Research Funds for Shenzhen Science and Technology Program(grant numbers:KQTD20230301092840010); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11373206","Bidirectional;CMOS;8-shaped transformer;switchless;ultracompact","Switches;Logic gates;Impedance;Leakage currents;Couplings;Noise;ISO;Baluns;Power generation;Transceivers","","","","","IEEE","6 Feb 2026","","","IEEE","IEEE Early Access Articles"
"Microwave Rectification Lossy Model for Low- and Ultralow-Power Energy Harvesting","R. -P. Huang; Y. Li; T. Liu; Q. -X. Li; B. Shao; J. -C. Yao; Z. -N. Gu; L. Du; K. -Z. Zhang; Z. -C. Liu; Z. -W. Chen; X. Wang; J. -P. Ao","School of Integrated Circuits, Jiangnan University, Wuxi, China; School of Integrated Circuits, Jiangnan University, Wuxi, China; School of Integrated Circuits, Jiangnan University, Wuxi, China; School of Integrated Circuits, Jiangnan University, Wuxi, China; School of Integrated Circuits, Jiangnan University, Wuxi, China; School of Integrated Circuits, Jiangnan University, Wuxi, China; School of Integrated Circuits, Jiangnan University, Wuxi, China; Shanghai Institute of Aerospace Technical Foundation, Shanghai, China; Ceyear Technology Company Ltd., Qingdao, China; School of Integrated Circuits, Jiangnan University, Wuxi, China; School of Integrated Circuits, Jiangnan University, Wuxi, China; School of Integrated Circuits, Jiangnan University, Wuxi, China; School of Integrated Circuits, Jiangnan University, Wuxi, China",IEEE Transactions on Microwave Theory and Techniques,"","2026","PP","99","1","11","This article presents a microwave rectification lossy model for low- and ultralow-power rectifiers, enabling accurate quantification and analysis of rectification losses. The first step involves employing a physics-based diode loss model to calculate diode losses, specifically accounting for leakage loss. Subsequently, the impedance of diode encompassing higher order harmonic effects is obtained via fast Fourier transform (FFT). Building upon this, a microwave rectification lossy model is proposed using the concept of splitting algorithm to determine the optimal lossy matching network and appropriate diode parameters for microwatt-level rectification. A key finding indicates that the reduction of intrinsic diode loss achieved by a smaller junction capacitance is offset by an increase in matching network loss, resulting in a degradation of the overall rectifier efficiency. Based on this comprehensive analysis, a gallium nitride (GaN) Schottky barrier diode (SBD) and a 2.4-GHz rectifier are designed and fabricated. Experimental results demonstrate a power conversion efficiency (PCE) of 43.2% at −15-dBm input power, outperforming state-of-the-art designs and validating the accuracy and practical utility of the proposed model.","1557-9670","","10.1109/TMTT.2026.3657359","National Key Research and Development Program of China(grant numbers:2024YFE0205100); National Natural Science Foundation of China(grant numbers:62504093); Basic Research Program of Jiangsu(grant numbers:BK20251591); Science and Technology Innovation Key Research and Development Program of Chongqing, China(grant numbers:CSTB2024TIAD-STX0007); Key Research and Development Project of Jiangsu Province, China(grant numbers:BE2023007-1,BG2024019); Fundamental Research Funds for the Central Universities(grant numbers:JUSRP202501020,JUSRP202501032); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11373200","Energy harvest;gallium nitride (GaN) Schottky barrier diode (SBD);lossy passives;microwave rectifier","Schottky diodes;Rectifiers;Leakage currents;Junctions;Time-domain analysis;Microwave circuits;Mathematical models;Impedance;Analytical models;Microwave integrated circuits","","","","","IEEE","6 Feb 2026","","","IEEE","IEEE Early Access Articles"
"A Four-Channel CMOS Wi-Fi 7 Transceiver Front End for Fiber-to-the-Room With Analog Beamforming and Digital Predistortion","B. Feng; K. Fu; X. Huang; X. Lei; L. Teng; S. Zheng; X. Gui","Shaanxi Provincial Key Laboratory of Electronic Devices and Advanced Chips, Xi’an Key Laboratory of Micro-Nano Electronics and System Integration, and the School of Microelectronics, Xi’an Jiaotong University, Xi’an, China; Shaanxi Provincial Key Laboratory of Electronic Devices and Advanced Chips, Xi’an Key Laboratory of Micro-Nano Electronics and System Integration, and the School of Microelectronics, Xi’an Jiaotong University, Xi’an, China; Shaanxi Provincial Key Laboratory of Electronic Devices and Advanced Chips, Xi’an Key Laboratory of Micro-Nano Electronics and System Integration, and the School of Microelectronics, Xi’an Jiaotong University, Xi’an, China; Shaanxi Provincial Key Laboratory of Electronic Devices and Advanced Chips, Xi’an Key Laboratory of Micro-Nano Electronics and System Integration, and the School of Microelectronics, Xi’an Jiaotong University, Xi’an, China; Shaanxi Provincial Key Laboratory of Electronic Devices and Advanced Chips, Xi’an Key Laboratory of Micro-Nano Electronics and System Integration, and the School of Microelectronics, Xi’an Jiaotong University, Xi’an, China; Shaanxi Provincial Key Laboratory of Electronic Devices and Advanced Chips, Xi’an Key Laboratory of Micro-Nano Electronics and System Integration, and the School of Microelectronics, Xi’an Jiaotong University, Xi’an, China; Shaanxi Provincial Key Laboratory of Electronic Devices and Advanced Chips, Xi’an Key Laboratory of Micro-Nano Electronics and System Integration, and the School of Microelectronics, Xi’an Jiaotong University, Xi’an, China",IEEE Transactions on Microwave Theory and Techniques,"","2026","PP","99","1","15","This article presents a 5–7.1-GHz four-channel CMOS Wi-Fi 7 transceiver front end for fiber-to-the-room (FTTR) applications with analog beamforming beamforming-FTTR (BF-FTTR), which can significantly alleviate indoor signal interference by enabling directional radiation and fine gain control. In addition, due to the introduction of support for digital predistortion (DPD), superior linearity has been achieved at a high output power. Furthermore, a broadband matching network merged transmitting/receiving (T/R) switch is designed, with an analog linearization technique adopted in the power amplifier to partially suppress the transmitter (TX) nonlinear distortion. Meanwhile, a passive–active hybrid network scheme is proposed in the power divider (PD) and power combiner (PC) to offset the insertion loss (IL) due to the passive structure. The phase and gain controls are realized by a 4-bit passive phase shifter (PS) and a 5-bit passive attenuator (ATT), respectively. Implemented in a 55-nm CMOS process, the measured  $P_{\mathrm {sat}}$  of each TX channel is better than 22.1 dBm. Error vector magnitude (EVM) of the TX with 320-MHz 4096-QAM MCS13 is better than −40.31 dB at 17.5-dBm output power. The TX EVM floor is below −38 dB from 5 to 7.1 GHz within the output power range of −16 to 20 dBm. The RX EVM at −19-dBm input power is better than −46.41 dB, and the noise figure (NF) is 4.5 dB.","1557-9670","","10.1109/TMTT.2026.3655167","National Natural Science Foundation of China(grant numbers:62174132); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11373192","Beamforming-fiber-to-the-room (BF-FTTR);CMOS;digital predistortion (DPD);front-end module (FEM);transceiver front end;Wi-Fi 7","Transceivers;Wireless fidelity;Gain;Switches;Attenuation;Power generation;Array signal processing;Topology;Optical fiber networks;Bandwidth","","","","","IEEE","6 Feb 2026","","","IEEE","IEEE Early Access Articles"
"Walking-Robust Respiration Detection via Dual-Path Coupling in Single Radar","S. Xue; Y. Dai; Y. Song; T. Jin","College of Electronic Science and Technology, National University of Defense Technology, Changsha, China; College of Electronic Science and Technology, National University of Defense Technology, Changsha, China; College of Electronic Science and Technology, National University of Defense Technology, Changsha, China; College of Electronic Science and Technology, National University of Defense Technology, Changsha, China",IEEE Transactions on Microwave Theory and Techniques,"","2026","PP","99","1","12","Monitoring of human respiration offers critical insights into pulmonary health, metabolic activity, and overall autonomic function, making it highly valuable for continuous monitoring. In recent years, radar sensing has emerged as a promising technique for vital-sign monitoring, offering noncontact measurement, robustness to illumination variations, and inherent privacy protection. However, accurate respiration monitoring during walking remains challenging, as large-scale body motion can obscure the subtle chest motions associated with breathing. To address this challenge, this article proposes a novel walking-robust respiration detection method based on a frequency modulation continuous wave (FMCW) radar. First, a physics-based model is developed to capture the intrinsic coupling between the direct and wall-reflected propagation paths. By coherently combining the two paths, the proposed configuration effectively suppresses motion-induced interference. Subsequently, a wavelet packet-based algorithm is proposed for respiratory signal extraction, integrating wavelet packet decomposition with a Lagrangian energy–entropy optimization scheme. The method exploits the multiscale representation of wavelet packets and the nonlinear discriminative power of entropy to enhance respiratory component separation. Finally, both simulation and experimental validations are conducted under various walking scenarios. The results confirm that the proposed method enables accurate and stable respiration measurement across multiple radar platforms, achieving an average root mean square error (RMSE) within 2 breaths per minute (brpm).","1557-9670","","10.1109/TMTT.2025.3642130","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11373048","Energy–entropy;frequency modulation continuous wave (FMCW) radar;movement cancellation;multipath utilization;vital signs detection;wavelet packet","Radar;Monitoring;Couplings;Interference;Radar detection;Wavelet packets;Reflection;Radar tracking;Signal processing algorithms;Radar antennas","","","","","IEEE","6 Feb 2026","","","IEEE","IEEE Early Access Articles"
"Balanced Doherty Power Amplifier to Against Load Mismatch","W. Shi; Y. Zang; Z. Yang; C. Hu; J. Hua; G. Xu; Z. Dai; J. Pang; M. Li","School of Microelectronics and Communication Engineering, Chongqing University, Chongqing, China; School of Microelectronics and Communication Engineering, Chongqing University, Chongqing, China; School of Intelligent Technology and Engineering, Chongqing University of Science and Technology, Chongqing, China; School of Microelectronics and Communication Engineering, Chongqing University, Chongqing, China; Faculty of Electrical Engineering and Computer Science, Ningbo University, Ningbo, China; Faculty of Electrical Engineering and Computer Science, Ningbo University, Ningbo, China; School of Microelectronics and Communication Engineering, Chongqing University, Chongqing, China; School of Microelectronics and Communication Engineering, Chongqing University, Chongqing, China; School of Microelectronics and Communication Engineering, Chongqing University, Chongqing, China",IEEE Transactions on Microwave Theory and Techniques,"","2026","PP","99","1","14","To compensate for load mismatch, the existing load-modulated power amplifiers (LMPAs) always rely on an external control circuit. This increases the circuit complexity and extra power consumption. In this article, a balanced Doherty power amplifier (BDPA) is proposed to against load mismatch without using any external control circuit. By replacing each subamplifier of a balanced power amplifier (BPA) with a Doherty power amplifier (DPA), the proposed BDPA can simultaneously maintain high back-off and saturation performances under load-mismatch conditions. Furthermore, to extend the high-efficiency power range of the BDPA, a piecewise linear current is adopted by the carrier amplifier in the DPA. As a validation, a BDPA operating at 2.0 GHz is fabricated and measured in this article. Under a matching condition, the fabricated BDPA delivers a saturation power of 44.7 dBm, a saturation DE of 69.9%, and a 9-dB back-off DE of 53.5%. Meanwhile, when the load mismatch is on the 2:1 VSWR circle, the fabricated BDPA obtains a saturation output power of 43.7–44.3 dBm, a saturation DE of 59.4%–64.6%, and a 9-dB back-off DE of 44.3%–49.6%.","1557-9670","","10.1109/TMTT.2026.3653984","National Natural Science Foundation of China(grant numbers:62201100,62171065,62001061,62001083); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11373284","Balanced power amplifier (BPA);Doherty power amplifier (DPA);high-efficiency power range;load mismatch","Power amplifiers;Impedance;Power generation;Couplers;Transistors;Voltage control;Vectors;Degradation;Antenna arrays;Voltage","","","","","IEEE","6 Feb 2026","","","IEEE","IEEE Early Access Articles"
"An Efficient Surrogate-Based EM-Centric Multiphysics Optimization Incorporating Feature Assistance for Tunable Microwave Filter Design","L. Zhang; L. Ma; H. Hu; W. Zhang; K. Ma; Q. -J. Zhang","Tianjin Key Laboratory of Imaging and Sensing Microelectronic Technology, School of Microelectronics, Tianjin University, Tianjin, China; Tianjin Key Laboratory of Imaging and Sensing Microelectronic Technology, School of Microelectronics, Tianjin University, Tianjin, China; School of Electronic Engineering, Beijing University of Posts and Telecommunications, Beijing, China; School of Electronic Engineering, Beijing University of Posts and Telecommunications, Beijing, China; Tianjin Key Laboratory of Imaging and Sensing Microelectronic Technology, School of Microelectronics, Tianjin University, Tianjin, China; Department of Electronics, Carleton University, Ottawa, ON, Canada",IEEE Transactions on Microwave Theory and Techniques,"","2026","PP","99","1","16","This article proposes an efficient surrogate-based electromagnetic (EM)-centric multiphysics optimization methodology that incorporates feature information assistance for the design of tunable microwave filters. A neuro-transfer function (neuro-TF) surrogate is adopted to represent the EM-centric multiphysics behavior. The proposed approach tackles the problem of the initial point being considerably distant from the desired design target, as well as the inability to clearly identify and extract feature information in the EM-centric multiphysics response. The proposed technique develops a robust neuro-TF surrogate model considering the coupling effects in the multiphysics domain. Using vector fitting, the effective poles and zeros of the tunable filter are extracted. Neural networks are then used to map design variables to these poles and zeros. Feature parameters, including feature frequencies and responses, are identified. The transfer function of the pole/zero format is employed to help extract feature information directly. Furthermore, new formulations for calculating the first derivative of the response of the EM-centric multiphysics surrogate model relative to the design parameters are derived, so as to conduct gradient-based optimization. A trust region algorithm is applied to improve optimization speed and convergence. A novel objective function incorporating feature parameters is formulated. By leveraging these feature parameters, this approach can enhance the capability to avoid local minima and achieve optimization more rapidly than the surrogate-based multiphysics optimization approach that lacks feature assistance. The efficacy of the proposed approach is demonstrated through two EM-centric multiphysics optimization examples involving tunable microwave filters.","1557-9670","","10.1109/TMTT.2026.3658447","National Natural Science Foundation of China(grant numbers:62331018); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11372451","Electromagnetic (EM)-centric multiphysics optimization;feature parameters;neuro-transfer function (neuro-TF);surrogate modeling;trust region;tunable microwave filter","Multiphysics;Optimization;Feature extraction;Microwave filters;Vectors;Space mapping;Physics;Data mining;Microwave transistors;Microwave imaging","","","","","IEEE","4 Feb 2026","","","IEEE","IEEE Early Access Articles"
"Forward and Backward Scattering Models in Near-Field Radio Frequency Sensing","J. Zhou; T. B. Conroy; E. C. Kan","School of Electrical and Computer Engineering, Cornell University, Ithaca, NY, USA; School of Electrical and Computer Engineering, Cornell University, Ithaca, NY, USA; School of Electrical and Computer Engineering, Cornell University, Ithaca, NY, USA",IEEE Transactions on Microwave Theory and Techniques,"","2026","PP","99","1","11","Recent advances in microwave technology have enabled touchless wearable sensors for vital-sign monitoring. Near-field radio frequency (NFRF) sensors improve electromagnetic (EM) energy coupling to capture motion of internal organs and deep tissues through clothing and coverings. Conventional NFRF sensors, which rely on backscattering (BS), are prone to signal distortion from near-field nonlinearities, direct-path saturation, and multipath interference. This work systematically evaluates forward scattering (FS) and BS using the Mie theory, full-wave CST simulations with realistic torso models, and experimental validation on phantoms and human cardiograms. FS demonstrates higher SNR and stable, monophasic waveform behavior across geometric changes, supporting robust physiological feature extraction and motivating hybrid forward–backward near-field sensing.","1557-9670","","10.1109/TMTT.2026.3658279","Department of Defense (DoD) of the United States through the Office of the Congressionally Directed Medical Research Programs (CDMRP) Discovery(grant numbers:PR-182496); National Institutes of Health (NIH) through the National Institute of Biomedical Imaging and Bioengineering (NIBIB)(grant numbers:1R21EB034562-01); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11372452","Backscattering (BS);forward scattering (FS);Mie scattering;near field;radio frequency (RF)","Sensors;Scattering;Monitoring;Electric fields;Radio frequency;Permittivity;Biomedical monitoring;Backscatter;Radar cross-sections;Doppler radar","","","","","IEEE","4 Feb 2026","","","IEEE","IEEE Early Access Articles"
"Experimental Study on Long-Pulse High-Power Microwave Generation Based on GW-Level C-Band Transit-Time Oscillator Encapsulated With Compact and Lightweight Permanent Magnet","Y. He; J. Ling; X. Gao; J. He; X. Cheng; F. Zeng; M. Pi","College of Advanced Interdisciplinary Studies, National University of Defense Technology, Changsha, China; College of Advanced Interdisciplinary Studies, National University of Defense Technology, Changsha, China; College of Advanced Interdisciplinary Studies, National University of Defense Technology, Changsha, China; College of Advanced Interdisciplinary Studies, National University of Defense Technology, Changsha, China; College of Advanced Interdisciplinary Studies, National University of Defense Technology, Changsha, China; College of Advanced Interdisciplinary Studies, National University of Defense Technology, Changsha, China; College of Advanced Interdisciplinary Studies, National University of Defense Technology, Changsha, China",IEEE Transactions on Microwave Theory and Techniques,"","2026","PP","99","1","10","This article presents the design, simulation, and experimental demonstration of a compact and lightweight permanent magnet (CLPM)-encapsulated C-band transit-time oscillator (TTO) capable of generating GW-level long-pulse high-power microwaves (HPMs). With a magnet weight of only 80 kg and a guiding magnetic field of 0.29 T, the device addresses key challenges in miniaturized HPM sources, including limited power capacity, plasma-induced pulse shortening, and inefficient energy extraction under radial magnetic fields. Through particle-in-cell (PIC) simulations and experimental validation, several critical optimizations are implemented: a thick metal stepped foil replaced conventional sheet-type foils to reduce the maximum electric field from 0.90 to 0.66 MV/cm, a nonuniform-radius two-cavity extractor improves beam extraction efficiency and power capacity of the device, an anode cavity is introduced to suppress secondary electron-induced impedance collapse, and a large-radius collector is designed to mitigate plasma backflow and enhance thermal management. Experimental results show stable output at 1.34-GW power, 92-ns pulse duration, and 30.3% efficiency at 4.34 GHz. The device achieves a remarkable balance between miniaturization and high performance, offering a viable technical pathway for practical applications of portable HPM systems.","1557-9670","","10.1109/TMTT.2026.3658737","National Natural Science Foundation of China(grant numbers:62471479); Hunan Province Graduate Research Innovation Project(grant numbers:CX20230040); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11372586","High-power microwave;long-pulse operation;miniaturization research;permanent magnet (PM);transit-time oscillator (TTO)","Magnetic fields;Microwave theory and techniques;Microwave devices;Electric fields;Microwave oscillators;Metals;C-band;Plasmas;Soft magnetic materials;Electromagnetic heating","","","","","IEEE","4 Feb 2026","","","IEEE","IEEE Early Access Articles"
"Comments on “Polarization-Insensitive High-Angular Stable Frequency Selective Surfaces Based on Anisotropic Artificial Electromagnetic Medium”","A. Dukata; W. Susek; M. Czyżewski","Electronic Department, Military University of Technology, Warsaw, Poland; Electronic Department, Military University of Technology, Warsaw, Poland; Electronic Department, Military University of Technology, Warsaw, Poland",IEEE Transactions on Microwave Theory and Techniques,"","2026","PP","99","1","5","Section II of the above article contains several errors which result in (3), (4), (5), (11), (12), (13), (14), and (15) being incorrect. The main cause of errors is the incorrect relationship between reflection and transmission coefficients (Fresnel coefficients). The correct relationship for the normal incidence of an electromagnetic (EM) wave was derived. On this basis, the remaining inconsistencies were briefly explained. However, condition (16), based on an erroneous theoretical analysis, seems to be correct. This paradox was explained using the power reflection and transmission coefficients, the correct form of which was derived for the TE- and TM-polarizations. In summary, errors were found, and a method for correcting them was proposed.","1557-9670","","10.1109/TMTT.2026.3657903","Wojskowa Akademia Techniczna(grant numbers:UGB 62/2025); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11372230","Fresnel coefficients;reflectance;reflection coefficient;reflectivity;uniaxially anisotropic media","Reflection;Media;Vectors;Reflectivity;Anisotropic;Optical surface waves;Microwave theory and techniques;Impedance;Permittivity;Permeability","","","","","CCBY","4 Feb 2026","","","IEEE","IEEE Early Access Articles"
"A Compact TSV Tunable Inductor Based on Magnetic Coupling Technique","Y. Zheng; G. Shan; X. Fan; B. Meng; F. Wang; R. Wang; G. Li; Y. Yang","Faculty of Integrated Circuit, Xidian University, Xi’an, China; Faculty of Integrated Circuit, Xidian University, Xi’an, China; Faculty of Integrated Circuit, Xidian University, Xi’an, China; Faculty of Integrated Circuit, Xidian University, Xi’an, China; Faculty of Integrated Circuit, Xidian University, Xi’an, China; Faculty of Integrated Circuit, Xidian University, Xi’an, China; Faculty of Integrated Circuit, Xidian University, Xi’an, China; Faculty of Integrated Circuit, Xidian University, Xi’an, China",IEEE Transactions on Microwave Theory and Techniques,"","2026","PP","99","1","9","Tunable inductors are widely recognized as a critical bottleneck in the development of fully reconfigurable and miniaturized radio frequency (RF) transceivers. Conventional designs are often limited by narrow tuning ranges, degraded high-frequency performance, large area, and fabrication complexity. In this work, a compact tunable crossover inductor is reported, which is implemented in through-silicon-via (TSV) technology. A geometry model and an equivalent circuit model are developed and are shown to be in good agreement. The tuning mechanism is derived from magnetic coupling principles, which describe the equivalent inductance under both amplitude and phase tuning regimes. The proposed inductor prototype is demonstrated to achieve continuous tuning from 0.47 to 5.93nH across 0.1–30GHz by controlling the excitation amplitude ratio and phase difference, corresponding to a tuning ratio of 92.1%. A quality factor of 63 is measured at 18GHz under in-phase modulation, and the core area is only  $131\times 106~\mu $ m2. These results confirm that the proposed design can be regarded as a high-performance, area-efficient tunable device for next-generation reconfigurable RF transceivers.","1557-9670","","10.1109/TMTT.2026.3657383","National Key Research and Development Program of China(grant numbers:2022YFB4401303); Science Fund for Creative Research Groups of the National Natural Science Foundation of China(grant numbers:62021004); State Key Program of National Natural Science of China(grant numbers:62134005); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11372567","Inductor;magnetic coupling;model;reconfigurable;tunable","Inductors;Radio frequency;Integrated circuit modeling;Tuning;Through-silicon vias;Inductance;Transceivers;Substrates;Couplings;Magnetic cores","","","","","IEEE","4 Feb 2026","","","IEEE","IEEE Early Access Articles"
